class,score,weight
NMI,0.7063190092608184,Measures
NMI,0.7056387036296919,Measures
NMI,0.7190597205435932,Measures
NMI,0.5844376057979672,Measures
NMI,1.0,Measures
NMI,0.9766379587684895,Measures
NMI,0.9333333333333333,Measures
NMI,0.9568075184365091,Measures
NMI,0.7994178303942282,Measures
NMI,0.633754206101888,Measures
NMI,0.8583827107533045,Measures
NMI,0.8674456734986427,Measures
NMI,0.9312563208154158,Measures
NMI,1.0,Measures
NMI,0.5407219603651137,Measures
NMI,1.0,Measures
NMI,0.7702716321419006,Measures
NMI,0.9275585730208221,Measures
NMI,0.8377452119711747,Measures
NMI,0.8864650393787022,Measures
NMI,1.0,Measures
NMI,1.0,Measures
NMI,0.9203206878174773,Measures
NMI,0.6286397746471936,Measures
NMI,0.9027128836355364,Measures
NMI,0.75,Human Satisfaction
NMI,0.4375,Human Satisfaction
NMI,0.8125,Human Satisfaction
NMI,0.75,Human Satisfaction
NMI,0.375,Human Satisfaction
NMI,0.625,Human Satisfaction
NMI,0.75,Human Satisfaction
NMI,0.8333333333333334,Human Satisfaction
NMI,0.5625,Human Satisfaction
NMI,0.75,Human Satisfaction
NMI,0.125,Human Satisfaction
NMI,0.4375,Human Satisfaction
NMI,0.6875,Human Satisfaction
NMI,0.75,Human Satisfaction
NMI,0.4375,Human Satisfaction
NMI,0.6875,Human Satisfaction
NMI,0.6875,Human Satisfaction
NMI,1.0,Human Satisfaction
NMI,0.875,Human Satisfaction
NMI,0.9375,Human Satisfaction
NMI,0.6875,Human Satisfaction
NMI,0.9375,Human Satisfaction
NMI,0.5,Human Satisfaction
NMI,0.3125,Human Satisfaction
NMI,0.875,Human Satisfaction
ARI,0.5358185262942291,Measures
ARI,0.537098966041645,Measures
ARI,0.3935504572437029,Measures
ARI,0.3564788401516931,Measures
ARI,1.0,Measures
ARI,0.9975062344139651,Measures
ARI,0.9,Measures
ARI,0.9563967417345471,Measures
ARI,0.663681522423564,Measures
ARI,0.4586262844780963,Measures
ARI,0.8316276586277476,Measures
ARI,0.8429639700883752,Measures
ARI,0.8952095808383234,Measures
ARI,1.0,Measures
ARI,0.2038010848412074,Measures
ARI,1.0,Measures
ARI,0.5057803468208092,Measures
ARI,0.9016782505509409,Measures
ARI,0.7479929508517721,Measures
ARI,0.4444444444444445,Measures
ARI,1.0,Measures
ARI,1.0,Measures
ARI,0.9048858937050084,Measures
ARI,0.43650716074516244,Measures
ARI,0.827384815055159,Measures
ARI,0.75,Human Satisfaction
ARI,0.4375,Human Satisfaction
ARI,0.8125,Human Satisfaction
ARI,0.75,Human Satisfaction
ARI,0.375,Human Satisfaction
ARI,0.625,Human Satisfaction
ARI,0.75,Human Satisfaction
ARI,0.8333333333333334,Human Satisfaction
ARI,0.5625,Human Satisfaction
ARI,0.75,Human Satisfaction
ARI,0.125,Human Satisfaction
ARI,0.4375,Human Satisfaction
ARI,0.6875,Human Satisfaction
ARI,0.75,Human Satisfaction
ARI,0.4375,Human Satisfaction
ARI,0.6875,Human Satisfaction
ARI,0.6875,Human Satisfaction
ARI,1.0,Human Satisfaction
ARI,0.875,Human Satisfaction
ARI,0.9375,Human Satisfaction
ARI,0.6875,Human Satisfaction
ARI,0.9375,Human Satisfaction
ARI,0.5,Human Satisfaction
ARI,0.3125,Human Satisfaction
ARI,0.875,Human Satisfaction
Shen-F,0.8989041095890412,Measures
Shen-F,0.8193634811281869,Measures
Shen-F,0.7599999999999999,Measures
Shen-F,0.8384615384615386,Measures
Shen-F,1.0,Measures
Shen-F,0.9844961240310077,Measures
Shen-F,0.9166666666666666,Measures
Shen-F,0.989811320754717,Measures
Shen-F,0.8206521739130435,Measures
Shen-F,0.8983957219251336,Measures
Shen-F,0.9055325987144169,Measures
Shen-F,0.8910394265232975,Measures
Shen-F,0.9111111111111111,Measures
Shen-F,1.0,Measures
Shen-F,0.6035714285714286,Measures
Shen-F,0.9999999999999999,Measures
Shen-F,0.7679425837320574,Measures
Shen-F,0.9823380992430614,Measures
Shen-F,0.9387755102040816,Measures
Shen-F,0.9,Measures
Shen-F,1.0,Measures
Shen-F,1.0,Measures
Shen-F,0.9241071428571428,Measures
Shen-F,0.7200753822540849,Measures
Shen-F,0.9437500000000001,Measures
Shen-F,0.75,Human Satisfaction
Shen-F,0.4375,Human Satisfaction
Shen-F,0.8125,Human Satisfaction
Shen-F,0.75,Human Satisfaction
Shen-F,0.375,Human Satisfaction
Shen-F,0.625,Human Satisfaction
Shen-F,0.75,Human Satisfaction
Shen-F,0.8333333333333334,Human Satisfaction
Shen-F,0.5625,Human Satisfaction
Shen-F,0.75,Human Satisfaction
Shen-F,0.125,Human Satisfaction
Shen-F,0.4375,Human Satisfaction
Shen-F,0.6875,Human Satisfaction
Shen-F,0.75,Human Satisfaction
Shen-F,0.4375,Human Satisfaction
Shen-F,0.6875,Human Satisfaction
Shen-F,0.6875,Human Satisfaction
Shen-F,1.0,Human Satisfaction
Shen-F,0.875,Human Satisfaction
Shen-F,0.9375,Human Satisfaction
Shen-F,0.6875,Human Satisfaction
Shen-F,0.9375,Human Satisfaction
Shen-F,0.5,Human Satisfaction
Shen-F,0.3125,Human Satisfaction
Shen-F,0.875,Human Satisfaction
F1,0.6666666666666666,Measures
F1,0.75,Measures
F1,0.6,Measures
F1,0.6,Measures
F1,0.6666666666666666,Measures
F1,0.375,Measures
F1,0.6,Measures
F1,0.6,Measures
F1,1.0,Measures
F1,0.8571428571428571,Measures
F1,0.0,Measures
F1,0.5,Measures
F1,0.8571428571428571,Measures
F1,0.6,Measures
F1,0.4,Measures
F1,0.8571428571428571,Measures
F1,0.5,Measures
F1,1.0,Measures
F1,0.6,Measures
F1,1.0,Measures
F1,0.6,Measures
F1,0.8571428571428571,Measures
F1,0.75,Measures
F1,0.5,Measures
F1,0.8571428571428571,Measures
F1,0.5,Human Satisfaction
F1,0.9375,Human Satisfaction
F1,0.5625,Human Satisfaction
