Project,Model,NMI,ARI,Shen-F,F1
Angular,BiLSTM,0.5,0.39,0.74,0.4
Appium,BiLSTM,0.35,0.19,0.62,0.39
Deeplearning4j,BiLSTM,0.49,0.35,0.68,0.45
Docker,BiLSTM,0.45,0.31,0.66,0.44
Ethereum,BiLSTM,0.44,0.27,0.65,0.5
Gitter,BiLSTM,0.4,0.22,0.65,0.4
Typescript,BiLSTM,0.32,0.21,0.64,0.32
NodeJS,BiLSTM,0.52,0.4,0.72,0.3
Angular,BERT,0.49,0.35,0.72,0.45
Appium,BERT,0.46,0.33,0.74,0.46
Deeplearning4j,BERT,0.38,0.27,0.66,0.36
Docker,BERT,0.55,0.43,0.72,0.48
Ethereum,BERT,0.46,0.33,0.68,0.5
Gitter,BERT,0.54,0.37,0.71,0.5
Typescript,BERT,0.34,0.23,0.66,0.36
NodeJS,BERT,0.52,0.4,0.73,0.42
Angular,E2E,0.39,0.27,0.68,0.33
Appium,E2E,0.33,0.2,0.65,0.46
Deeplearning4j,E2E,0.38,0.24,0.64,0.35
Docker,E2E,0.49,0.36,0.68,0.53
Ethereum,E2E,0.51,0.31,0.68,0.44
Gitter,E2E,0.52,0.36,0.7,0.47
Typescript,E2E,0.32,0.24,0.67,0.15
NodeJS,E2E,0.42,0.29,0.66,0.32
Angular,FF,0.79,0.7,0.88,0.53
Appium,FF,0.64,0.52,0.78,0.57
Deeplearning4j,FF,0.68,0.51,0.76,0.5
Docker,FF,0.74,0.64,0.83,0.5
Ethereum,FF,0.83,0.64,0.87,0.61
Gitter,FF,0.78,0.63,0.83,0.57
Typescript,FF,0.67,0.55,0.81,0.54
NodeJS,FF,0.76,0.63,0.83,0.49
Angular,PtrNet,0.77,0.63,0.82,0.55
Appium,PtrNet,0.66,0.43,0.78,0.58
Deeplearning4j,PtrNet,0.62,0.45,0.79,0.45
Docker,PtrNet,0.65,0.61,0.85,0.42
Ethereum,PtrNet,0.79,0.65,0.82,0.63
Gitter,PtrNet,0.77,0.57,0.78,0.56
Typescript,PtrNet,0.6,0.54,0.79,0.53
NodeJS,PtrNet,0.67,0.61,0.76,0.45
